login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
ParthS007,ParthS007/fast-differential-privacy,2024-03-26T13:03:22Z,0,0,,True,True,apache-2.0
ParthS007,ParthS007/first-program,2017-01-18T15:05:51Z,3,3,Python,True,True,
ParthS007,ParthS007/Front-end,2017-11-11T07:04:35Z,2,2,HTML,True,True,apache-2.0
ParthS007,ParthS007/Github-Issue-Stat,2019-06-11T13:39:36Z,1,1,Python,True,True,gpl-3.0
ParthS007,ParthS007/Kisan-Seva-,2018-10-21T17:31:35Z,0,0,Java,True,True,
ParthS007,ParthS007/landb-provider,2022-06-08T15:07:11Z,1,1,Go,True,True,
ParthS007,ParthS007/Loan-Approval-Prediction,2018-11-17T05:04:15Z,90,90,Jupyter Notebook,True,True,apache-2.0
ParthS007,ParthS007/Multimedia-Information-Retrieval,2024-06-16T13:14:19Z,0,0,Jupyter Notebook,True,True,mit
ParthS007,ParthS007/MWS-Stage-1,2018-07-06T12:08:35Z,2,2,JavaScript,False,False,
ParthS007,ParthS007/MWS-Stage-2,2018-08-31T13:57:48Z,3,3,JavaScript,False,False,
ParthS007,ParthS007/MWS-Stage-3,2018-09-13T11:15:14Z,4,4,JavaScript,False,False,
ParthS007,ParthS007/myd0t,2020-02-05T15:06:24Z,0,0,,True,False,
ParthS007,ParthS007/newdle,2020-02-03T10:14:47Z,0,0,JavaScript,True,False,mit
ParthS007,ParthS007/opacus,2024-06-06T08:43:17Z,0,0,,True,False,apache-2.0
ParthS007,ParthS007/opacus-vs-fast-differential-privacy,2024-10-17T12:52:41Z,0,0,,True,True,apache-2.0
ParthS007,ParthS007/ParthS007,2020-07-09T07:35:20Z,0,0,,True,True,
ParthS007,ParthS007/Pattern-Recognition,2024-06-16T13:13:06Z,0,0,Jupyter Notebook,True,True,mit
ParthS007,ParthS007/pip-purge,2016-11-21T23:21:11Z,127,127,Python,True,False,mit
ParthS007,ParthS007/plant,2019-01-15T18:53:06Z,0,0,Python,True,True,mit
ParthS007,ParthS007/Pytorch-Challenge,2018-12-16T20:46:07Z,1,1,Python,False,False,mit
ParthS007,ParthS007/robyn,2023-02-12T19:15:00Z,1,1,Python,True,True,bsd-2-clause
ParthS007,ParthS007/tic-tac-toe,2017-08-02T19:26:59Z,2,2,Python,False,False,
ParthS007,ParthS007/tilics,2024-10-25T17:00:22Z,0,0,,True,False,cc-by-sa-4.0
ParthS007,ParthS007/urlshortner,2017-11-06T15:37:45Z,4,4,Python,True,True,
ParthS007,ParthS007/weblate,2021-02-27T21:28:51Z,1,1,Python,False,True,gpl-3.0
ParthS007,ParthS007/zlux-app-manager,2020-05-19T22:31:13Z,0,0,TypeScript,True,True,epl-2.0
ParthS007,ParthS007/zlux-server-framework,2020-06-15T07:47:09Z,0,0,,True,True,epl-2.0
quantumjim,quantumjim/Battleships_with_complementary_measurements,2018-02-02T22:13:17Z,10,10,Jupyter Notebook,True,True,
quantumjim,quantumjim/binder_test,2018-09-07T12:50:38Z,0,0,Jupyter Notebook,True,True,
quantumjim,quantumjim/blog,2019-10-15T16:17:26Z,6,6,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/celeste.py,2021-01-21T14:01:36Z,0,0,,True,True,
quantumjim,quantumjim/ck-qiskit,2018-10-05T11:58:05Z,1,1,Python,True,True,
quantumjim,quantumjim/Composer-Guide,2019-01-24T15:56:20Z,6,6,Python,True,True,
quantumjim,quantumjim/covid19-cases-switzerland,2020-10-21T18:48:26Z,0,0,,True,True,
quantumjim,quantumjim/csv2terrain,2019-05-22T09:11:50Z,5,5,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/data4papers,2021-09-24T08:51:02Z,4,4,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/decodoku,2022-07-07T17:07:20Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/decodoku2022,2022-02-03T14:51:32Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/explorer-hat,2020-03-27T23:02:19Z,0,0,,True,True,mit
quantumjim,quantumjim/Fasnacht2021,2021-02-08T08:51:45Z,0,0,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/Ganymede,2020-12-12T19:31:26Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/get_memory,2019-04-29T17:32:41Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/hello-tomorrow-talk,2018-11-26T09:49:03Z,1,1,Python,True,True,
quantumjim,quantumjim/ibmqx-user-guides,2018-11-27T12:18:14Z,1,1,CSS,True,True,apache-2.0
quantumjim,quantumjim/jupyter-engine,2019-06-09T16:00:20Z,0,0,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/jupyter-widget-game-engine,2020-04-07T14:55:09Z,7,7,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/learning-qiskit,2019-01-24T15:47:02Z,1,1,,True,True,apache-2.0
quantumjim,quantumjim/Link_to_Quantum_game,2019-01-18T13:24:55Z,2,2,Python,True,True,
quantumjim,quantumjim/logical-Bell-states-in-3CX-BaconShor-codes,2024-03-22T12:14:44Z,0,0,,True,True,other
quantumjim,quantumjim/Masters-Work,2017-09-04T14:21:11Z,3,3,,True,True,
quantumjim,quantumjim/may4_challenge_exercises,2020-05-09T10:04:29Z,0,0,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/Melbourne-Repetition-Code,2018-11-19T13:40:28Z,1,1,Jupyter Notebook,True,True,
quantumjim,quantumjim/MicroQiskit,2020-09-16T08:51:32Z,2,2,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/MicroQiskitC-,2019-11-12T08:07:03Z,2,2,C++,True,True,apache-2.0
quantumjim,quantumjim/MicroQiskitLua,2020-04-11T16:05:26Z,1,1,Lua,True,True,
quantumjim,quantumjim/minetest,2019-05-15T21:49:18Z,0,0,C++,True,False,other
quantumjim,quantumjim/misc_markdown,2019-09-19T11:53:10Z,0,0,Python,True,True,
quantumjim,quantumjim/Misc_QISKit_Things,2018-03-21T17:06:14Z,1,1,Jupyter Notebook,True,True,
quantumjim,quantumjim/MQITE,2023-02-08T07:45:01Z,0,0,Python,True,True,mit
quantumjim,quantumjim/musical_experiments,2019-08-26T06:27:04Z,0,0,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/Nim,2020-10-13T12:52:56Z,3,3,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/NoiseEstimationFromSyndromes,2020-10-15T13:06:07Z,0,0,,True,True,
quantumjim,quantumjim/pairwise-tomography,2020-05-28T10:43:49Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/pew-pygame,2019-07-07T09:53:05Z,0,0,Python,True,False,other
quantumjim,quantumjim/PewPew-MicroQiskit-Jam,2020-03-20T14:50:31Z,5,5,,True,True,apache-2.0
quantumjim,quantumjim/pewpew_qiskit_workshops,2019-08-20T13:24:26Z,7,7,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/PyMatching,2023-04-04T12:39:20Z,0,0,C++,True,True,apache-2.0
quantumjim,quantumjim/pyweek-29,2020-03-24T14:05:12Z,0,0,,True,True,apache-2.0
quantumjim,quantumjim/qec-fidelity,2022-02-11T15:39:29Z,1,1,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/qec_lectures,2022-06-23T13:09:17Z,34,34,Jupyter Notebook,True,True,
quantumjim,quantumjim/Qisge-1,2021-04-21T13:54:45Z,0,0,C#,True,True,apache-2.0
quantumjim,quantumjim/qisge-jupylet,2021-10-08T12:36:31Z,0,0,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/qiskit-addon-cutting,2024-09-27T09:22:27Z,0,0,,True,False,apache-2.0
quantumjim,quantumjim/qiskit-community-tutorials,2019-11-13T08:53:14Z,3,3,,True,True,apache-2.0
quantumjim,quantumjim/qiskit-education,2019-01-31T17:00:59Z,1,1,Python,True,True,apache-2.0
quantumjim,quantumjim/Qiskit-for-GameDev,2020-03-23T08:15:26Z,2,2,Lua,True,True,
quantumjim,quantumjim/qiskit-ignis,2021-09-27T11:38:55Z,0,0,Python,True,False,apache-2.0
quantumjim,quantumjim/qiskit-iqx-tutorials,2019-11-14T08:48:04Z,2,2,Jupyter Notebook,True,False,apache-2.0
quantumjim,quantumjim/qiskit-presentations,2019-02-26T21:44:41Z,1,1,Jupyter Notebook,True,False,apache-2.0
quantumjim,quantumjim/Qiskit-PyConDE,2019-10-09T12:55:59Z,11,11,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/qiskit-qec-decodoku,2023-05-03T13:40:45Z,0,0,Python,True,True,apache-2.0
quantumjim,quantumjim/qiskit-terra,2020-03-25T10:43:26Z,0,0,Python,True,False,apache-2.0
quantumjim,quantumjim/qiskit-textbook,2020-11-20T16:49:43Z,0,0,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/qiskit-translations,2020-08-04T09:03:41Z,0,0,,True,True,
quantumjim,quantumjim/qreative,2018-08-10T14:39:48Z,18,18,Jupyter Notebook,True,True,apache-2.0
quantumjim,quantumjim/qreative-tutorials,2019-01-24T14:59:53Z,5,5,Jupyter Notebook,True,True,apache-2.0
